@relation InstanceResultListener

@attribute Key_Dataset {'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.rules.OneR,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SimpleLogistic,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'','-B 6','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-I 0 -M 500 -H 50 -W 0.0','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {48055541465867954,-3459427003147861443,-217733168393644444,1116839470751428698,-3080186098777067172,5995231201785697655,7397710626304705059,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 401\nSize of the tree: 801\n','Number of leaves: 422\nSize of the tree: 843\n','Number of leaves: 454\nSize of the tree: 907\n','Number of leaves: 509\nSize of the tree: 1017\n','Number of leaves: 425\nSize of the tree: 849\n','Number of leaves: 419\nSize of the tree: 837\n','Number of leaves: 477\nSize of the tree: 953\n','Number of leaves: 412\nSize of the tree: 823\n','Number of leaves: 468\nSize of the tree: 935\n','Number of leaves: 365\nSize of the tree: 729\n','Number of leaves: 410\nSize of the tree: 819\n','Number of leaves: 411\nSize of the tree: 821\n','Number of leaves: 379\nSize of the tree: 757\n','Number of leaves: 444\nSize of the tree: 887\n','Number of leaves: 421\nSize of the tree: 841\n','Number of leaves: 459\nSize of the tree: 917\n','Number of leaves: 446\nSize of the tree: 891\n','Number of leaves: 473\nSize of the tree: 945\n','Number of leaves: 457\nSize of the tree: 913\n','Number of leaves: 441\nSize of the tree: 881\n','Number of leaves: 416\nSize of the tree: 831\n','Number of leaves: 487\nSize of the tree: 973\n','Number of leaves: 474\nSize of the tree: 947\n','Number of leaves: 451\nSize of the tree: 901\n','Number of leaves: 442\nSize of the tree: 883\n','Number of leaves: 437\nSize of the tree: 873\n','Number of leaves: 420\nSize of the tree: 839\n','Number of leaves: 408\nSize of the tree: 815\n','Number of leaves: 462\nSize of the tree: 923\n','Number of leaves: 389\nSize of the tree: 777\n','Number of leaves: 467\nSize of the tree: 933\n','Number of leaves: 453\nSize of the tree: 905\n','Number of leaves: 448\nSize of the tree: 895\n','Number of leaves: 431\nSize of the tree: 861\n','Number of leaves: 430\nSize of the tree: 859\n','Number of leaves: 403\nSize of the tree: 805\n','Number of leaves: 432\nSize of the tree: 863\n','Number of leaves: 427\nSize of the tree: 853\n','Number of leaves: 392\nSize of the tree: 783\n','Number of leaves: 463\nSize of the tree: 925\n','Number of leaves: 461\nSize of the tree: 921\n','Number of leaves: 464\nSize of the tree: 927\n','Number of leaves: 469\nSize of the tree: 937\n','Number of leaves: 455\nSize of the tree: 909\n','Number of leaves: 404\nSize of the tree: 807\n','Number of leaves: 418\nSize of the tree: 835\n','Number of leaves: 450\nSize of the tree: 899\n','Number of leaves: 429\nSize of the tree: 857\n','Number of leaves: 393\nSize of the tree: 785\n','Number of leaves: 478\nSize of the tree: 955\n','Number of leaves: 394\nSize of the tree: 787\n','Number of leaves: 524\nSize of the tree: 1047\n','Number of leaves: 440\nSize of the tree: 879\n','Number of leaves: 466\nSize of the tree: 931\n','Number of leaves: 415\nSize of the tree: 829\n','Number of leaves: 460\nSize of the tree: 919\n','Number of leaves: 402\nSize of the tree: 803\n','Number of leaves: 452\nSize of the tree: 903\n','Number of leaves: 489\nSize of the tree: 977\n','Number of leaves: 409\nSize of the tree: 817\n','Number of leaves: 492\nSize of the tree: 983\n','Number of leaves: 436\nSize of the tree: 871\n','Number of leaves: 472\nSize of the tree: 943\n','Number of leaves: 445\nSize of the tree: 889\n','Number of leaves: 507\nSize of the tree: 1013\n','Number of leaves: 371\nSize of the tree: 741\n','Number of leaves: 413\nSize of the tree: 825\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0,0,0.000114,0.000374,0.114,0.374,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0,0,0.000125,0.000319,0.125,0.319,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0,0.000112,0.000286,0.112,0.286,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0,0.000111,0.000289,0.111,0.289,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0.001,0.000107,0.000283,0.107,0.283,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0,0.000099,0.000285,0.099,0.285,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0,0.000096,0.000253,0.096,0.253,888,960113,109323,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0.001,0.000092,0.000276,0.092,0.276,888,960113,109323,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0,0.000093,0.000273,0.093,0.273,888,960113,109323,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6423,713,359,354,0,50.350631,49.649369,0,0,0.499974,0.499988,100,100,712.974754,712.974754,0,0.999965,0.999965,0,0,0,0,1,359,1,354,0,0,0,0,0.503506,1,0.669776,?,0.5,0.503506,0.503506,0.503506,0.496494,0.496494,?,0.503506,?,?,0.5,0.500025,?,0.503506,0,0,0.000091,0.000276,0.091,0.276,888,960113,109323,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0,0,0.000097,0.000305,0.097,0.305,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,359,355,0,50.280112,49.719888,0,0,0.499979,0.499993,100,100,713.985636,713.985636,0,0.99998,0.99998,0,0,0,0,1,359,1,355,0,0,0,0,0.502801,1,0.669152,?,0.5,0.502801,0.502801,0.502801,0.497199,0.497199,?,0.502801,?,?,0.5,0.500016,?,0.502801,0,0,0.000092,0.000285,0.092,0.285,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0.001,0.000091,0.000258,0.091,0.258,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0,0.000092,0.00027,0.092,0.27,888,959964,109472,100,100,?,?,?,?,?,?,?
'R_data_frame-weka.filters.supervised.instance.SMOTE-C0-K5-P450.0-S1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R2,4,9,11,13,14-decimals0-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R12-decimals2',3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20221029.1101,6422,714,360,354,0,50.420168,49.579832,0,0,0.49997,0.499983,100,100,713.964425,713.964425,0,0.99995,0.99995,0,0,0,0,1,360,1,354,0,0,0,0,0.504202,1,0.670391,?,0.5,0.504202,0.504202,0.504202,0.495798,0.495798,?,0.504202,?,?,0.5,0.500035,?,0.504202,0,0,0.000097,0.000284,0.097,0.284,888,959964,109472,100,100,?,?,?,?,?,?,?
